Portfolio;Date;Identifier;Amount
UNDESIRED MOMENTUM;2020-01-01 00:00:00;COO UN Equity;-0.006487361
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SYK UN Equity;-0.010719032
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WY UN Equity;0.005157732
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PAYX UW Equity;0.00894656
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MTD UN Equity;0.002847096
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NSC UN Equity;-0.003109026
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CTAS UW Equity;0.005013049
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CLX UN Equity;-0.009642152
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AMAT UW Equity;0.004895266
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LMT UN Equity;0.005146763
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LNC UN Equity;0.001150052
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CPB UN Equity;0.002076712
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HAL UN Equity;-0.008536237
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PEG UN Equity;-0.004175539
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MGM UN Equity;-0.002270506
UNDESIRED MOMENTUM;2020-01-01 00:00:00;IVZ UN Equity;0.006332705
UNDESIRED MOMENTUM;2020-01-01 00:00:00;URI UN Equity;0.001834299
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MHK UN Equity;-0.000243359
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AEE UN Equity;-0.004759865
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HST UN Equity;-0.013861897
UNDESIRED MOMENTUM;2020-01-01 00:00:00;KLAC UW Equity;0.004980536
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PRU UN Equity;-0.010696575
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MLM UN Equity;0.006395352
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CERN UW Equity;0.005522846
UNDESIRED MOMENTUM;2020-01-01 00:00:00;KSS UN Equity;-0.005117851
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CSCO UW Equity;-0.001395167
UNDESIRED MOMENTUM;2020-01-01 00:00:00;JWN UN Equity;-0.002605766
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MCO UN Equity;0.002005924
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ALGN UW Equity;-0.004355086
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MMC UN Equity;-0.002509237
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NKE UN Equity;-0.006084865
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WAT UN Equity;-0.004428477
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ALXN UW Equity;-0.000617793
UNDESIRED MOMENTUM;2020-01-01 00:00:00;RJF UN Equity;-0.006164134
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SBAC UW Equity;-0.000490649
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ADSK UW Equity;-8.3832E-05
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ISRG UW Equity;-0.005127704
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BAX UN Equity;-0.00290354
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DIS UN Equity;-0.001487113
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HIG UN Equity;0.00377863
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WRB UN Equity;-0.004757228
UNDESIRED MOMENTUM;2020-01-01 00:00:00;VFC UN Equity;0.006381752
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ALL UN Equity;0.005673865
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PPG UN Equity;0.002735069
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BDX UN Equity;-0.00033737
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SHW UN Equity;0.017284221
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TJX UN Equity;0.006678534
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MCHP UW Equity;0.000917728
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DRE UN Equity;-0.003708257
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NVDA UW Equity;0.002800532
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ALB UN Equity;-0.003252315
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ETN UN Equity;-0.003594884
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PCAR UW Equity;0.000244066
UNDESIRED MOMENTUM;2020-01-01 00:00:00;IPG UN Equity;-0.000454704
UNDESIRED MOMENTUM;2020-01-01 00:00:00;INCY UW Equity;-0.002328749
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NTAP UW Equity;-0.007472732
UNDESIRED MOMENTUM;2020-01-01 00:00:00;VRTX UW Equity;-0.00212296
UNDESIRED MOMENTUM;2020-01-01 00:00:00;XRX UN Equity;0.002733372
UNDESIRED MOMENTUM;2020-01-01 00:00:00;IRM UN Equity;-0.016031718
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HBAN UW Equity;-0.000914446
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BK UN Equity;-0.009158328
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ZION UW Equity;0.006509094
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TGT UN Equity;0.010935181
UNDESIRED MOMENTUM;2020-01-01 00:00:00;O UN Equity;-0.007318927
UNDESIRED MOMENTUM;2020-01-01 00:00:00;IBM UN Equity;0.005524029
UNDESIRED MOMENTUM;2020-01-01 00:00:00;RVTY UN Equity;-0.008937583
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TSN UN Equity;0.007440417
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NOC UN Equity;-0.002665265
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TTWO UW Equity;-0.006584658
UNDESIRED MOMENTUM;2020-01-01 00:00:00;APD UN Equity;-0.000455224
UNDESIRED MOMENTUM;2020-01-01 00:00:00;STE UN Equity;0.00511894
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SCHW UN Equity;6.33022E-05
UNDESIRED MOMENTUM;2020-01-01 00:00:00;INTC UW Equity;-0.003954273
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SJM UN Equity;-0.005923137
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TFC UN Equity;-0.001150569
UNDESIRED MOMENTUM;2020-01-01 00:00:00;COR UN Equity;0.006438366
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ALK UN Equity;0.001285928
UNDESIRED MOMENTUM;2020-01-01 00:00:00;XRAY UW Equity;0.009090256
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AMGN UW Equity;-0.004437377
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ADBE UW Equity;0.003342571
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ATVI UW Equity;-0.001303922
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HUM UN Equity;-0.000968732
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SRE UN Equity;0.002971223
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EVRG UN Equity;-0.008073601
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CHD UN Equity;-0.00445997
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PVH UN Equity;0.002308252
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BWA UN Equity;0.001457222
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MSI UN Equity;0.006692994
UNDESIRED MOMENTUM;2020-01-01 00:00:00;A UN Equity;-0.008062571
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AIG UN Equity;0.004777254
UNDESIRED MOMENTUM;2020-01-01 00:00:00;K UN Equity;-0.005124905
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ATO UN Equity;0.002963387
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CI UN Equity;0.004181206
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HSY UN Equity;0.00836342
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HSIC UW Equity;0.002457875
UNDESIRED MOMENTUM;2020-01-01 00:00:00;COF UN Equity;0.006521976
UNDESIRED MOMENTUM;2020-01-01 00:00:00;APA UN Equity;0.002168023
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TXT UN Equity;-0.003586569
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ROK UN Equity;-0.003551499
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SO UN Equity;0.01152335
UNDESIRED MOMENTUM;2020-01-01 00:00:00;UHS UN Equity;0.003756665
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TT UN Equity;-0.000346431
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GAP UN Equity;-0.005114577
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DHR UN Equity;0.010878937
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SYY UN Equity;0.002161025
UNDESIRED MOMENTUM;2020-01-01 00:00:00;RL UN Equity;-0.000155033
UNDESIRED MOMENTUM;2020-01-01 00:00:00;IEX UN Equity;-0.001286487
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PNR UN Equity;0.002598624
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TROW UW Equity;-0.001592786
UNDESIRED MOMENTUM;2020-01-01 00:00:00;KO UN Equity;-0.008223418
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SEE UN Equity;-0.004563253
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GWW UN Equity;0.002166151
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PG UN Equity;0.004947041
UNDESIRED MOMENTUM;2020-01-01 00:00:00;INTU UW Equity;-0.014364336
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MRK UN Equity;-0.007140226
UNDESIRED MOMENTUM;2020-01-01 00:00:00;VRSN UW Equity;-0.013588421
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BSX UN Equity;-0.005875336
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GL UN Equity;0.005949165
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ADM UN Equity;-0.000437335
UNDESIRED MOMENTUM;2020-01-01 00:00:00;STT UN Equity;0.005989172
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WFC UN Equity;-0.002494557
UNDESIRED MOMENTUM;2020-01-01 00:00:00;JKHY UW Equity;-0.00058701
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FI UW Equity;0.001602939
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BEN UN Equity;-0.003823217
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MMM UN Equity;-0.002060114
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EW UN Equity;0.009532336
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MCK UN Equity;0.009481365
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ITW UN Equity;-0.003353627
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TRV UN Equity;-0.006158143
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CMI UN Equity;-0.002060458
UNDESIRED MOMENTUM;2020-01-01 00:00:00;IDXX UW Equity;0.003051892
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HES UN Equity;0.000677973
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ODFL UW Equity;0.004204092
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EA UW Equity;-0.004009419
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AGN UN Equity;0.008431919
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CMA UN Equity;-0.005713257
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CINF UW Equity;0.003701949
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CTXS UW Equity;-0.009204848
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AVB UN Equity;0.004329042
UNDESIRED MOMENTUM;2020-01-01 00:00:00;QCOM UW Equity;-0.003732288
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TAP UN Equity;-0.002893073
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CMS UN Equity;-0.003876423
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ROL UN Equity;-0.005194893
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AMZN UW Equity;-0.007987485
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BF/B UN Equity;0.002322202
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FLS UN Equity;0.003287456
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AAP UN Equity;0.004883397
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PXD UN Equity;0.004955498
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DISH UW Equity;0.003279463
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PH UN Equity;0.001350276
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MDT UN Equity;-0.003893201
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CAT UN Equity;0.003393781
UNDESIRED MOMENTUM;2020-01-01 00:00:00;OKE UN Equity;0.00423592
UNDESIRED MOMENTUM;2020-01-01 00:00:00;VAR UN Equity;0.001033259
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CTRA UN Equity;-0.001789325
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ESS UN Equity;-0.003805377
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AON UN Equity;0.005639799
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FFIV UW Equity;-0.005700581
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CPRT UW Equity;0.031215142
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EMN UN Equity;0.001726435
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EBAY UW Equity;0.001230742
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SWKS UW Equity;0.000531599
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DUK UN Equity;-0.001224994
UNDESIRED MOMENTUM;2020-01-01 00:00:00;UNH UN Equity;0.010134824
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BMY UN Equity;0.002885491
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SBUX UW Equity;0.00161557
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FLIR UW Equity;-0.003056164
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GE UN Equity;0.008484941
UNDESIRED MOMENTUM;2020-01-01 00:00:00;APH UN Equity;0.00038361
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PHM UN Equity;-0.000619233
UNDESIRED MOMENTUM;2020-01-01 00:00:00;REGN UW Equity;0.001073534
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ABMD UW Equity;-0.007808775
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HPQ UN Equity;-0.005586553
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SLB UN Equity;0.00207015
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DOC UN Equity;0.004655074
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GPN UN Equity;0.018960103
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GS UN Equity;0.0054003
UNDESIRED MOMENTUM;2020-01-01 00:00:00;RCL UN Equity;-0.001071092
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HON UN Equity;0.002029106
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AOS UN Equity;-0.012192641
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PSA UN Equity;-0.002258698
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BBY UN Equity;0.008448269
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PPL UN Equity;0.004285173
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MSFT UW Equity;0.002212454
UNDESIRED MOMENTUM;2020-01-01 00:00:00;2078185D UN Equity;0.001483554
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EQR UN Equity;0.001441716
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FE UN Equity;0.009194985
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CAG UN Equity;-0.000129164
UNDESIRED MOMENTUM;2020-01-01 00:00:00;RMD UN Equity;0.002585996
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BFH UN Equity;-0.002984544
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EL UN Equity;0.007395239
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DGX UN Equity;0.009660193
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HD UN Equity;-0.00010642
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ZBH UN Equity;0.002148495
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PWR UN Equity;0.010394545
UNDESIRED MOMENTUM;2020-01-01 00:00:00;IT UN Equity;0.003110966
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CVX UN Equity;0.003877464
UNDESIRED MOMENTUM;2020-01-01 00:00:00;YUM UN Equity;-0.005167881
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FTI UN Equity;-0.001397293
UNDESIRED MOMENTUM;2020-01-01 00:00:00;USB UN Equity;-0.006848924
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NUE UN Equity;-0.00214264
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AFL UN Equity;-0.006200798
UNDESIRED MOMENTUM;2020-01-01 00:00:00;OXY UN Equity;-0.005099962
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HRL UN Equity;-0.002333915
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ETR UN Equity;0.005040539
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MRO UN Equity;0.002032256
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ARE UN Equity;0.013577722
UNDESIRED MOMENTUM;2020-01-01 00:00:00;KIM UN Equity;0.00593243
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MNST UW Equity;0.003326964
UNDESIRED MOMENTUM;2020-01-01 00:00:00;KR UN Equity;0.005591029
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FMC UN Equity;0.008053555
UNDESIRED MOMENTUM;2020-01-01 00:00:00;VLO UN Equity;-0.001775173
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NI UN Equity;-0.011750848
UNDESIRED MOMENTUM;2020-01-01 00:00:00;UNP UN Equity;-0.005068092
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WMB UN Equity;-0.000338451
UNDESIRED MOMENTUM;2020-01-01 00:00:00;IP UN Equity;-0.010154475
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LHX UN Equity;-0.004993216
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GD UN Equity;-0.014705846
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AZO UN Equity;0.00738606
UNDESIRED MOMENTUM;2020-01-01 00:00:00;C UN Equity;0.00205994
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CTSH UW Equity;-0.001694953
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NEM UN Equity;0.000714937
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MS UN Equity;-0.002754068
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HP UN Equity;0.004703132
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WAB UN Equity;-0.006545916
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BAC UN Equity;0.012524725
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CL UN Equity;-0.001384543
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FIS UN Equity;-0.001151367
UNDESIRED MOMENTUM;2020-01-01 00:00:00;KMB UN Equity;-0.00038169
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BKNG UW Equity;0.001744937
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SPGI UN Equity;-0.005878766
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LLY UN Equity;-0.004049902
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SNPS UW Equity;0.007163603
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LRCX UW Equity;0.006195472
UNDESIRED MOMENTUM;2020-01-01 00:00:00;UPS UN Equity;-0.000728005
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MAA UN Equity;0.014239211
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FDX UN Equity;-0.002758897
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GLW UN Equity;0.002390854
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DOV UN Equity;0.013050944
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DVA UN Equity;0.003310496
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HOLX UW Equity;-0.000863864
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ES UN Equity;0.000375477
UNDESIRED MOMENTUM;2020-01-01 00:00:00;VZ UN Equity;0.007041599
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EFX UN Equity;0.001961058
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SLG UN Equity;-0.002576762
UNDESIRED MOMENTUM;2020-01-01 00:00:00;RHI UN Equity;-0.002341399
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LEN UN Equity;-0.001440807
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GPC UN Equity;0.002872504
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MO UN Equity;-0.004234926
UNDESIRED MOMENTUM;2020-01-01 00:00:00;XLNX UW Equity;-0.004376167
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TMO UN Equity;0.003282834
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BKR UN Equity;-0.001250277
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PKG UN Equity;-0.000770368
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GILD UW Equity;-0.005547018
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NTRS UW Equity;0.002090846
UNDESIRED MOMENTUM;2020-01-01 00:00:00;XOM UN Equity;-0.006546327
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BXP UN Equity;-0.005425593
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CVS UN Equity;-0.006587413
UNDESIRED MOMENTUM;2020-01-01 00:00:00;D UN Equity;-0.006671247
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MCD UN Equity;-0.006839744
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CCL UN Equity;-0.002883842
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ED UN Equity;-0.007982531
UNDESIRED MOMENTUM;2020-01-01 00:00:00;RSG UN Equity;-0.005823555
UNDESIRED MOMENTUM;2020-01-01 00:00:00;HRB UN Equity;-0.006383438
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MTB UN Equity;-0.002153276
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CNP UN Equity;0.004358623
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NOV UN Equity;0.003831657
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LIN UN Equity;0.008460279
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ILMN UW Equity;-0.000982848
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WMT UN Equity;0.002289066
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ABT UN Equity;0.001982506
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LOW UN Equity;-0.00997409
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FRT UN Equity;-0.003701428
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BALL UN Equity;-0.00547536
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DLTR UW Equity;-0.004100943
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EOG UN Equity;-0.002853825
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DTE UN Equity;0.001223825
UNDESIRED MOMENTUM;2020-01-01 00:00:00;VNO UN Equity;-0.003068735
UNDESIRED MOMENTUM;2020-01-01 00:00:00;NEE UN Equity;0.006858062
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AKAM UW Equity;-0.003797111
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MKC UN Equity;0.003482452
UNDESIRED MOMENTUM;2020-01-01 00:00:00;COST UW Equity;0.013675154
UNDESIRED MOMENTUM;2020-01-01 00:00:00;M UN Equity;-0.000595054
UNDESIRED MOMENTUM;2020-01-01 00:00:00;JNJ UN Equity;-0.003677065
UNDESIRED MOMENTUM;2020-01-01 00:00:00;BIIB UW Equity;0.001734331
UNDESIRED MOMENTUM;2020-01-01 00:00:00;COP UN Equity;-0.000951042
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FITB UW Equity;-0.000999912
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DD UN Equity;-0.000274522
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EMR UN Equity;0.003349901
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SNA UN Equity;-0.006771569
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ROP UN Equity;-0.011782103
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MAS UN Equity;0.003269615
UNDESIRED MOMENTUM;2020-01-01 00:00:00;MET UN Equity;-0.005564231
UNDESIRED MOMENTUM;2020-01-01 00:00:00;CHRW UW Equity;-0.001037932
UNDESIRED MOMENTUM;2020-01-01 00:00:00;DE UN Equity;-0.002698603
UNDESIRED MOMENTUM;2020-01-01 00:00:00;RTX UN Equity;0.008838042
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WEC UN Equity;0.009548121
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ANSS UW Equity;0.010328922
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PNC UN Equity;-0.003255408
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LUV UN Equity;9.70974E-05
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TPR UN Equity;-0.006167594
UNDESIRED MOMENTUM;2020-01-01 00:00:00;SWK UN Equity;-0.003122164
UNDESIRED MOMENTUM;2020-01-01 00:00:00;FAST UW Equity;0.004699782
UNDESIRED MOMENTUM;2020-01-01 00:00:00;RTN UN Equity;0.006131468
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PFE UN Equity;-0.011076916
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AIV UN Equity;-0.009377763
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AAPL UW Equity;0.01562367
UNDESIRED MOMENTUM;2020-01-01 00:00:00;VMC UN Equity;0.004805069
UNDESIRED MOMENTUM;2020-01-01 00:00:00;PGR UN Equity;0.005140959
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WELL UN Equity;-0.004392363
UNDESIRED MOMENTUM;2020-01-01 00:00:00;TFX UN Equity;0.002869194
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AXP UN Equity;-0.006081735
UNDESIRED MOMENTUM;2020-01-01 00:00:00;ORLY UW Equity;-5.12207E-05
UNDESIRED MOMENTUM;2020-01-01 00:00:00;AEP UN Equity;-9.323E-05
UNDESIRED MOMENTUM;2020-01-01 00:00:00;GIS UN Equity;0.002695352
UNDESIRED MOMENTUM;2020-01-01 00:00:00;LUMN UN Equity;-0.001360731
UNDESIRED MOMENTUM;2020-01-01 00:00:00;WHR UN Equity;0.002300963
UNDESIRED MOMENTUM;2020-01-01 00:00:00;EXPD UW Equity;-0.005305006
UNDESIRED MOMENTUM;2020-01-01 00:00:00;JPM UN Equity;0.005502437
UNDESIRED MOMENTUM;2020-01-01 00:00:00;F UN Equity;0.004656929
